Activity_Type,Movement_Speed_ms,Crowd_Density,Temperature_C,Pilgrim_Age_Group,Pilgrim_Experience,Time_of_Day,Time_Spent_min,Pilgrim_Group_Size,Phone_Battery_Pct,Risk_Level
Walking,0.7,Medium,43.2,40_to_60,First-Time,Afternoon,21.3,41,37,Medium
Prayer,0.037,High,37.4,40_to_60,First-Time,Night,17.6,41,81,Medium
Prayer,0.098,Medium,39.4,Above_60,Experienced,Night,13.4,16,98,Low
Prayer,0.0,High,45.0,40_to_60,Experienced,Morning,17.2,9,27,Medium
Sai,1.016,Low,46.9,Under_40,First-Time,Morning,66.6,46,14,Low
Walking,1.151,Low,45.8,40_to_60,First-Time,Maghrib,20.8,50,10,Medium
Prayer,0.031,High,42.1,40_to_60,Experienced,Afternoon,29.7,37,42,Medium
Resting,0.068,Low,45.2,Under_40,Experienced,Noon,67.1,26,98,Low
Walking,1.011,Medium,35.9,Under_40,Experienced,Maghrib,14.1,32,25,Low
Walking,1.022,Low,33.9,Above_60,First-Time,Morning,11.3,15,75,Low
Prayer,0.047,Medium,36.5,Above_60,Experienced,Morning,25.3,41,78,Low
Sai,1.463,Low,52.0,40_to_60,First-Time,Afternoon,65.9,27,54,Medium
Walking,0.642,Medium,50.3,40_to_60,First-Time,Morning,23.1,40,11,Medium
Walking,1.139,Low,35.6,40_to_60,Experienced,Noon,12.1,15,77,Low
Sai,1.329,Low,41.1,Under_40,First-Time,Noon,61.7,43,10,Low
Sai,1.058,High,40.3,Above_60,Experienced,Morning,88.0,27,8,Low
Sai,1.365,Medium,47.2,40_to_60,First-Time,Fajr,55.5,17,35,Medium
Walking,0.593,Low,44.6,Under_40,First-Time,Maghrib,13.0,27,94,Low
Sai,0.892,Medium,40.5,40_to_60,First-Time,Maghrib,67.9,18,77,Low
Walking,1.151,Medium,44.2,40_to_60,First-Time,Afternoon,18.1,37,69,Medium
Prayer,0.009,Medium,45.1,Above_60,First-Time,Morning,11.3,21,81,Medium
Walking,0.503,Medium,34.6,Above_60,First-Time,Noon,29.3,19,63,Low
Resting,0.117,High,44.1,Under_40,Experienced,Morning,46.8,11,98,Medium
Resting,0.031,Low,41.9,Above_60,First-Time,Night,20.6,42,89,Low
Prayer,0.086,Medium,37.4,Under_40,First-Time,Afternoon,15.1,34,72,Low
Tawaf,0.761,Medium,39.6,40_to_60,Experienced,Fajr,54.0,32,76,Low
Prayer,0.048,High,43.1,Under_40,First-Time,Fajr,14.6,26,20,Medium
Walking,0.798,High,42.5,Under_40,First-Time,Night,8.9,7,77,Low
Walking,0.877,High,41.2,Under_40,First-Time,Fajr,17.7,5,64,Low
Walking,0.658,High,40.8,Under_40,Experienced,Night,24.9,7,82,Low
Sai,1.009,High,42.2,Above_60,First-Time,Night,76.7,40,77,Medium
Walking,0.571,Medium,35.6,40_to_60,First-Time,Noon,15.6,36,100,Low
Sai,1.113,High,48.9,40_to_60,Experienced,Afternoon,50.6,18,40,Medium
Walking,0.928,High,40.5,40_to_60,Experienced,Afternoon,28.9,39,32,Low
Prayer,0.093,Low,44.0,Above_60,Experienced,Afternoon,16.7,26,84,Medium
Walking,1.017,Medium,48.5,40_to_60,Experienced,Morning,7.6,26,80,Medium
Tawaf,0.662,High,46.5,40_to_60,First-Time,Afternoon,50.2,32,36,High
Prayer,0.031,High,43.2,Above_60,First-Time,Morning,23.9,9,56,Medium
Walking,1.122,High,41.6,40_to_60,First-Time,Morning,11.3,25,21,Low
Sai,1.463,High,41.9,40_to_60,Experienced,Afternoon,53.2,9,14,Low
Walking,1.153,High,35.5,40_to_60,First-Time,Noon,11.6,9,47,Low
Walking,0.527,Medium,37.1,Under_40,Experienced,Fajr,18.8,27,60,Low
Walking,0.923,Low,43.0,40_to_60,First-Time,Night,26.9,7,73,Low
Prayer,0.064,High,40.5,40_to_60,First-Time,Fajr,12.6,7,97,Medium
Walking,0.707,Medium,36.0,40_to_60,First-Time,Night,8.6,13,29,Low
Walking,1.195,Medium,43.2,Above_60,Experienced,Morning,15.7,13,67,Low
Walking,0.704,Medium,45.0,40_to_60,First-Time,Morning,8.1,30,31,Low
Walking,0.652,Medium,46.7,40_to_60,Experienced,Fajr,29.5,15,47,Medium
Prayer,0.048,High,44.1,40_to_60,First-Time,Noon,27.6,45,12,High
Sai,1.026,Medium,39.5,40_to_60,First-Time,Afternoon,47.9,36,49,Low
Sai,1.447,High,44.7,40_to_60,First-Time,Night,85.8,23,90,Medium
Tawaf,0.52,High,43.1,Above_60,Experienced,Maghrib,47.1,33,76,Medium
Prayer,0.041,High,38.3,40_to_60,Experienced,Morning,16.5,26,11,Low
Walking,0.938,Medium,38.2,40_to_60,Experienced,Morning,13.5,11,99,Low
Walking,0.557,High,45.4,40_to_60,Experienced,Fajr,6.8,33,69,Low
Sai,1.33,Medium,43.3,Under_40,First-Time,Afternoon,80.0,18,61,Medium
Resting,0.231,Medium,43.0,40_to_60,Experienced,Fajr,34.2,21,53,Low
Walking,0.832,Low,42.3,40_to_60,Experienced,Morning,10.2,43,60,Low
Resting,0.287,Low,44.4,Under_40,Experienced,Afternoon,95.7,16,64,Low
Walking,0.906,Low,40.0,Above_60,First-Time,Morning,6.5,31,7,Low
Walking,0.987,Low,41.5,40_to_60,First-Time,Morning,13.4,13,96,Low
Tawaf,0.762,High,45.0,40_to_60,Experienced,Morning,63.7,17,78,Medium
Sai,1.266,Medium,42.1,Above_60,Experienced,Noon,50.2,7,90,Low
Tawaf,0.516,High,39.0,Under_40,Experienced,Fajr,55.5,20,9,Low
Walking,0.517,Medium,39.2,40_to_60,First-Time,Maghrib,13.8,37,25,Low
Prayer,0.073,High,42.2,40_to_60,First-Time,Maghrib,16.4,9,63,Medium
Walking,1.175,High,32.0,Above_60,First-Time,Noon,11.8,27,39,Low
Prayer,0.047,High,49.0,40_to_60,First-Time,Maghrib,16.8,43,36,High
Walking,0.738,Medium,41.3,Above_60,Experienced,Morning,14.8,39,61,Low
Tawaf,0.56,High,43.9,40_to_60,First-Time,Night,37.7,19,27,Medium
Sai,1.31,High,44.5,Above_60,First-Time,Noon,54.4,41,28,High
Prayer,0.0,High,43.0,Above_60,Experienced,Afternoon,28.2,20,65,Medium
Prayer,0.089,Medium,36.5,Above_60,Experienced,Noon,28.9,9,91,Low
Prayer,0.089,Low,37.7,40_to_60,First-Time,Noon,29.9,44,38,Low
Walking,0.879,High,36.0,40_to_60,First-Time,Afternoon,17.0,20,5,Low
Tawaf,0.361,High,46.4,Above_60,First-Time,Noon,38.1,8,93,High
Prayer,0.067,Low,35.8,40_to_60,Experienced,Afternoon,23.7,13,35,Low
Resting,0.041,High,39.3,40_to_60,Experienced,Morning,113.4,17,81,Low
Tawaf,0.554,High,47.2,Under_40,First-Time,Afternoon,31.9,27,33,High
Resting,0.028,Medium,37.5,Above_60,First-Time,Morning,17.3,8,89,Low
Resting,0.177,High,42.6,Above_60,Experienced,Night,79.3,28,19,Medium
Tawaf,0.459,High,45.0,Above_60,First-Time,Maghrib,32.4,33,89,Medium
Prayer,0.083,Medium,41.8,40_to_60,First-Time,Afternoon,17.8,35,55,Low
Prayer,0.08,Low,42.6,Above_60,Experienced,Noon,17.5,15,8,Medium
Walking,1.199,Medium,44.1,Under_40,First-Time,Maghrib,7.5,6,47,Low
Walking,0.68,High,49.1,Above_60,Experienced,Afternoon,23.6,35,11,Medium
Walking,0.543,Medium,38.3,Above_60,First-Time,Afternoon,7.7,17,98,Low
Walking,0.81,Low,40.2,Above_60,Experienced,Afternoon,11.8,35,49,Low
Tawaf,0.342,Low,44.5,40_to_60,Experienced,Night,73.6,28,22,Low
Resting,0.054,Medium,41.2,Above_60,First-Time,Morning,79.9,15,99,Low
Walking,0.918,Medium,39.8,Under_40,First-Time,Night,16.8,16,5,Low
Walking,0.914,Medium,46.1,Under_40,First-Time,Afternoon,6.2,18,52,Medium
Resting,0.013,Medium,33.1,Above_60,Experienced,Afternoon,95.1,28,62,Low
Walking,0.81,Low,46.5,40_to_60,First-Time,Night,25.6,46,43,Medium
Sai,1.171,Medium,48.4,Under_40,First-Time,Noon,49.6,39,15,Medium
Prayer,0.027,High,41.2,40_to_60,First-Time,Afternoon,29.7,11,73,Medium
Walking,1.11,Low,36.7,40_to_60,First-Time,Afternoon,13.7,22,59,Low
Tawaf,0.381,High,42.7,Above_60,First-Time,Night,55.5,31,39,High
Resting,0.076,Medium,43.9,Under_40,Experienced,Afternoon,58.5,30,31,Low
Tawaf,0.378,Medium,35.4,40_to_60,Experienced,Morning,68.0,19,70,Low
Walking,0.582,Low,42.3,Above_60,First-Time,Afternoon,19.3,39,98,Medium
Walking,1.115,High,49.8,Above_60,Experienced,Night,19.0,23,58,Medium
Tawaf,0.439,Medium,47.1,40_to_60,First-Time,Afternoon,76.9,10,15,High
Resting,0.217,High,44.1,40_to_60,Experienced,Morning,112.4,47,90,Medium
Resting,0.128,Low,43.6,40_to_60,Experienced,Afternoon,101.3,42,87,Low
Walking,0.945,Medium,42.2,40_to_60,Experienced,Noon,23.0,46,87,Low
Sai,1.45,High,42.6,Under_40,Experienced,Afternoon,47.3,32,10,Low
Tawaf,0.722,Medium,41.6,40_to_60,Experienced,Morning,44.9,8,62,Low
Prayer,0.007,Medium,42.8,40_to_60,Experienced,Noon,12.1,40,97,Low
Sai,1.392,Medium,35.5,40_to_60,Experienced,Afternoon,83.5,45,36,Low
Walking,0.816,Low,33.3,40_to_60,First-Time,Morning,21.3,19,45,Low
Resting,0.105,Medium,39.0,Above_60,First-Time,Morning,18.5,9,41,Low
Walking,0.971,Low,46.1,Under_40,First-Time,Maghrib,23.1,13,55,Medium
Resting,0.285,Low,44.4,40_to_60,First-Time,Night,50.4,28,26,Medium
Walking,0.566,Medium,45.4,40_to_60,Experienced,Night,18.6,14,11,Low
Walking,1.038,Low,42.4,40_to_60,Experienced,Night,19.5,38,33,Low
Resting,0.061,High,46.9,40_to_60,Experienced,Night,32.0,42,44,High
Walking,0.766,High,47.3,40_to_60,Experienced,Maghrib,15.0,14,44,Medium
Resting,0.262,Medium,46.8,40_to_60,First-Time,Maghrib,59.8,34,57,Medium
Prayer,0.055,High,39.3,Above_60,Experienced,Morning,22.3,21,31,Medium
Tawaf,0.334,High,42.2,40_to_60,First-Time,Noon,83.4,6,78,High
Resting,0.152,Low,40.1,Under_40,Experienced,Noon,79.6,50,72,Low
Walking,1.053,High,47.9,Above_60,Experienced,Maghrib,22.1,29,47,Medium
Resting,0.159,Low,46.5,40_to_60,Experienced,Noon,84.8,36,24,Medium
Resting,0.05,Medium,43.8,40_to_60,Experienced,Noon,23.9,35,48,Low
Tawaf,0.523,High,44.8,40_to_60,First-Time,Maghrib,48.0,8,30,Medium
Walking,1.147,Medium,43.2,Above_60,First-Time,Maghrib,15.0,10,76,Low
Prayer,0.066,High,38.3,40_to_60,Experienced,Noon,18.9,42,49,Medium
Walking,1.011,Low,46.3,40_to_60,First-Time,Noon,26.1,34,40,Medium
Walking,1.05,Medium,50.1,40_to_60,Experienced,Night,18.1,37,42,Low
Prayer,0.009,High,44.0,40_to_60,First-Time,Maghrib,26.3,38,10,Medium
Walking,0.907,High,41.5,Above_60,First-Time,Afternoon,27.7,13,62,Low
Walking,0.763,Medium,39.1,40_to_60,First-Time,Maghrib,22.4,8,34,Low
Tawaf,0.37,High,41.0,Above_60,Experienced,Morning,36.8,28,36,Medium
Walking,0.642,Low,36.9,40_to_60,First-Time,Afternoon,10.0,19,60,Low
Walking,1.047,Medium,38.3,40_to_60,Experienced,Morning,25.7,37,14,Low
Resting,0.048,Medium,41.3,40_to_60,First-Time,Fajr,74.2,24,31,Low
Prayer,0.031,Low,43.3,40_to_60,First-Time,Maghrib,20.3,19,93,Low
Tawaf,0.442,Medium,36.1,Above_60,Experienced,Noon,88.1,44,54,Low
Walking,0.534,Medium,42.8,40_to_60,First-Time,Noon,14.2,24,97,Low
Tawaf,0.531,Low,48.3,40_to_60,First-Time,Afternoon,32.5,19,82,Medium
Resting,0.23,Medium,43.7,40_to_60,Experienced,Afternoon,41.8,19,41,Low
Tawaf,0.311,High,44.0,40_to_60,Experienced,Noon,47.1,10,64,Medium
Walking,0.579,Medium,43.6,40_to_60,First-Time,Afternoon,17.8,36,75,Medium
Walking,1.004,High,35.6,Above_60,Experienced,Maghrib,5.2,20,51,Low
Prayer,0.059,High,36.0,40_to_60,Experienced,Morning,29.8,5,40,Low
Tawaf,0.658,Medium,44.4,40_to_60,Experienced,Fajr,33.7,20,72,Low
Walking,0.661,Medium,44.8,Above_60,Experienced,Afternoon,10.8,40,49,Medium
Walking,1.063,Medium,46.2,Above_60,Experienced,Afternoon,21.8,13,74,High
Prayer,0.048,High,47.4,40_to_60,Experienced,Morning,29.6,21,53,High
Resting,0.183,Medium,39.9,Under_40,Experienced,Afternoon,68.7,42,88,Low
Prayer,0.009,Medium,45.9,Above_60,First-Time,Maghrib,16.8,35,31,Medium
Prayer,0.021,Low,45.8,Above_60,First-Time,Maghrib,13.2,48,42,Medium
Walking,1.041,Medium,48.1,Above_60,First-Time,Afternoon,27.6,44,64,High
Tawaf,0.412,High,48.4,Under_40,First-Time,Morning,33.0,14,75,Medium
Resting,0.028,High,40.4,Under_40,First-Time,Noon,22.3,45,91,Medium
Prayer,0.06,Medium,41.7,40_to_60,First-Time,Noon,11.3,12,45,Low
Tawaf,0.574,High,42.8,Above_60,First-Time,Maghrib,58.0,31,84,Medium
Prayer,0.061,Medium,38.7,Above_60,First-Time,Afternoon,28.6,34,69,Low
Walking,0.933,High,46.4,40_to_60,First-Time,Maghrib,18.9,22,35,Medium
Walking,0.85,High,41.2,Under_40,First-Time,Night,13.9,25,48,Low
Walking,0.846,High,46.7,Under_40,First-Time,Afternoon,11.0,12,23,Medium
Tawaf,0.762,High,48.1,Above_60,Experienced,Morning,60.9,21,35,High
Prayer,0.053,High,40.9,40_to_60,Experienced,Morning,18.8,46,95,Low
Walking,0.932,Medium,35.0,Above_60,Experienced,Fajr,7.3,20,82,Low
Tawaf,0.433,Medium,41.9,40_to_60,Experienced,Morning,30.4,43,33,Low
Resting,0.261,High,47.3,Under_40,First-Time,Morning,77.5,33,28,Medium
Tawaf,0.312,Low,47.3,40_to_60,Experienced,Morning,81.5,30,34,Medium
Resting,0.167,Medium,41.6,40_to_60,Experienced,Afternoon,78.9,18,38,Low
Prayer,0.038,Low,42.5,40_to_60,First-Time,Morning,16.5,37,60,Low
Walking,0.923,High,41.4,Above_60,Experienced,Noon,8.8,43,59,Low
Sai,1.052,Low,39.6,40_to_60,First-Time,Fajr,78.3,26,75,Low
Tawaf,0.659,High,35.1,Above_60,First-Time,Morning,72.1,8,100,Medium
Sai,0.814,Low,44.1,Under_40,First-Time,Fajr,83.1,29,39,Medium
Tawaf,0.503,Low,40.1,40_to_60,Experienced,Maghrib,89.0,36,70,Low
Prayer,0.083,Medium,42.9,40_to_60,First-Time,Noon,12.2,35,35,Medium
Walking,0.675,Low,44.7,Under_40,First-Time,Afternoon,11.6,34,61,Medium
Walking,0.537,Medium,45.6,40_to_60,First-Time,Maghrib,13.6,24,42,Low
Walking,0.848,High,39.2,40_to_60,Experienced,Night,18.4,38,94,Low
Walking,1.184,High,38.1,Under_40,First-Time,Afternoon,6.3,8,20,Low
Walking,0.545,Low,44.4,Under_40,Experienced,Afternoon,11.9,40,44,Low
Prayer,0.007,High,44.6,40_to_60,First-Time,Maghrib,25.9,13,56,Medium
Walking,0.917,Medium,39.7,Above_60,First-Time,Morning,6.2,43,70,Low
Prayer,0.025,High,46.0,Above_60,First-Time,Maghrib,26.4,36,43,High
Resting,0.123,High,41.8,Above_60,First-Time,Afternoon,34.4,31,12,Medium
Sai,1.381,Low,39.0,40_to_60,Experienced,Noon,58.7,9,60,Low
Tawaf,0.399,Medium,38.1,Under_40,Experienced,Noon,73.1,36,79,Low
Walking,1.004,Medium,44.0,Under_40,First-Time,Night,24.1,32,76,Low
Sai,1.153,High,43.0,40_to_60,First-Time,Night,54.5,48,65,Low
Resting,0.271,Medium,43.5,40_to_60,First-Time,Afternoon,57.6,24,30,Medium
Resting,0.292,Medium,37.6,40_to_60,Experienced,Noon,40.4,50,87,Low
Tawaf,0.542,Medium,33.1,40_to_60,First-Time,Maghrib,60.8,40,96,Low
Tawaf,0.592,High,44.4,40_to_60,First-Time,Afternoon,69.1,26,8,High
Walking,1.022,High,46.8,40_to_60,Experienced,Afternoon,11.8,40,79,Medium
Walking,0.723,Medium,35.5,40_to_60,Experienced,Morning,16.6,42,79,Low
Prayer,0.023,High,40.3,40_to_60,First-Time,Night,20.7,30,70,Medium
Walking,1.175,High,52.0,Under_40,Experienced,Morning,15.5,9,11,Low
Walking,0.803,High,44.3,Above_60,First-Time,Noon,17.8,24,15,Medium
Prayer,0.0,High,47.2,40_to_60,First-Time,Noon,12.9,8,96,High
Tawaf,0.719,Medium,48.5,Above_60,Experienced,Morning,32.4,24,68,Medium
Walking,0.92,Medium,40.1,40_to_60,First-Time,Fajr,6.6,29,10,Low
Sai,0.918,Medium,51.4,40_to_60,First-Time,Night,88.8,35,87,Medium
Resting,0.009,Low,35.0,40_to_60,Experienced,Maghrib,22.8,45,40,Low
Prayer,0.029,Medium,44.0,Above_60,First-Time,Fajr,17.7,15,57,Low
Walking,1.15,Medium,43.4,40_to_60,Experienced,Afternoon,24.8,16,36,Low
Resting,0.28,Medium,37.6,40_to_60,First-Time,Morning,104.3,14,39,Low
Resting,0.093,Medium,39.0,40_to_60,First-Time,Maghrib,43.2,24,31,Low
Prayer,0.084,Low,39.5,Above_60,First-Time,Afternoon,22.8,40,92,Medium
Sai,1.109,High,36.2,Under_40,First-Time,Night,77.6,29,53,Low
Walking,0.958,High,36.3,40_to_60,First-Time,Noon,27.9,32,91,Low
Prayer,0.033,High,40.7,40_to_60,Experienced,Maghrib,27.8,37,16,Low
Sai,1.161,High,40.1,40_to_60,First-Time,Fajr,64.6,35,14,Low
Resting,0.088,Low,39.4,Under_40,First-Time,Night,71.8,13,62,Low
Sai,0.843,High,45.3,40_to_60,First-Time,Afternoon,81.0,21,75,Medium
Tawaf,0.37,High,39.0,Under_40,Experienced,Noon,65.9,16,65,Medium
Tawaf,0.445,High,43.1,Above_60,Experienced,Morning,51.4,39,66,Medium
Walking,1.183,Medium,42.0,40_to_60,Experienced,Afternoon,28.8,35,75,Low
Walking,1.176,Medium,40.7,Above_60,Experienced,Maghrib,29.9,23,18,Low
Prayer,0.083,High,36.5,40_to_60,Experienced,Fajr,28.7,5,22,Low
Prayer,0.023,High,41.3,Under_40,Experienced,Morning,16.9,16,41,Low
Prayer,0.044,Medium,39.4,Under_40,Experienced,Noon,14.8,32,25,Low
Walking,0.808,High,45.8,40_to_60,First-Time,Night,17.3,48,21,Medium
Tawaf,0.493,High,44.6,40_to_60,First-Time,Night,77.1,48,82,High
Resting,0.013,Low,39.6,40_to_60,Experienced,Maghrib,43.4,17,42,Low
Sai,1.174,Medium,38.4,Under_40,First-Time,Fajr,63.3,7,55,Low
Resting,0.022,High,38.4,40_to_60,First-Time,Night,30.9,19,17,Medium
Sai,1.361,Medium,41.0,40_to_60,First-Time,Fajr,76.6,10,62,Low
Walking,0.984,Medium,46.2,40_to_60,Experienced,Night,23.4,31,12,Low
Sai,1.047,Medium,46.7,40_to_60,First-Time,Noon,67.3,7,11,Medium
Tawaf,0.624,Medium,32.0,40_to_60,First-Time,Maghrib,74.2,12,64,Low
Resting,0.07,Low,48.1,40_to_60,Experienced,Fajr,82.7,13,54,Low
Resting,0.08,Medium,41.5,40_to_60,First-Time,Morning,112.6,41,80,Low
Prayer,0.031,High,36.5,Under_40,Experienced,Noon,21.7,27,44,Low
Walking,1.058,Low,41.8,Above_60,Experienced,Fajr,13.9,22,6,Low
Walking,0.647,Low,38.7,40_to_60,First-Time,Noon,23.2,23,21,Low
Resting,0.169,Medium,48.6,Under_40,Experienced,Maghrib,21.0,20,33,Low
Prayer,0.02,Medium,39.7,40_to_60,First-Time,Afternoon,19.5,44,25,Low
Walking,0.7,High,38.2,Above_60,Experienced,Noon,29.1,11,15,Low
Walking,0.665,Medium,50.4,Above_60,First-Time,Fajr,22.6,15,100,Medium
Prayer,0.065,High,43.6,40_to_60,First-Time,Morning,30.0,44,86,Medium
Resting,0.158,Low,40.0,Above_60,First-Time,Maghrib,56.2,9,36,Low
Sai,1.305,Low,49.4,Under_40,Experienced,Noon,62.7,17,51,Medium
Tawaf,0.41,High,47.2,40_to_60,Experienced,Noon,33.6,36,59,Medium
Walking,0.506,Medium,39.5,Under_40,Experienced,Fajr,14.0,46,29,Low
Walking,0.976,Low,38.8,40_to_60,Experienced,Afternoon,8.5,23,59,Low
Sai,0.88,Medium,42.4,Under_40,Experienced,Afternoon,62.8,5,15,Low
Prayer,0.025,Medium,41.4,40_to_60,First-Time,Noon,10.0,12,40,Low
Resting,0.092,High,39.2,Under_40,Experienced,Maghrib,61.0,21,15,Low
Sai,1.323,Low,41.9,40_to_60,First-Time,Night,87.3,9,34,Low
Walking,0.938,Medium,49.0,40_to_60,Experienced,Maghrib,24.1,16,12,Low
Walking,0.629,Medium,46.2,Under_40,Experienced,Afternoon,11.0,45,11,Medium
Prayer,0.06,High,43.6,40_to_60,Experienced,Night,15.4,44,79,Medium
Resting,0.212,High,40.6,40_to_60,Experienced,Noon,47.5,31,78,Low
Walking,0.772,Low,41.5,40_to_60,First-Time,Afternoon,7.3,9,87,Low
Prayer,0.025,High,44.7,40_to_60,First-Time,Afternoon,29.8,22,42,High
Walking,0.975,High,44.4,Above_60,Experienced,Maghrib,21.7,50,12,Medium
Walking,0.928,Medium,42.3,40_to_60,First-Time,Afternoon,23.5,10,9,Low
Walking,0.555,High,46.3,40_to_60,First-Time,Afternoon,22.4,45,81,Medium
Resting,0.2,High,37.3,40_to_60,First-Time,Noon,63.8,11,22,Medium
Prayer,0.049,Low,45.9,40_to_60,First-Time,Morning,26.3,43,56,Low
Prayer,0.075,High,44.5,40_to_60,First-Time,Night,14.8,50,33,Medium
Sai,0.934,High,36.3,40_to_60,Experienced,Night,62.5,22,73,Low
Tawaf,0.429,Low,39.4,Above_60,First-Time,Maghrib,49.6,38,86,Low
Tawaf,0.572,Low,48.0,40_to_60,First-Time,Noon,87.2,27,48,High
Resting,0.145,Medium,44.1,Above_60,Experienced,Noon,19.1,31,53,Medium
Walking,0.77,High,41.5,40_to_60,First-Time,Fajr,6.9,7,49,Low
Walking,1.022,Low,43.3,Above_60,Experienced,Fajr,28.9,13,59,Low
Walking,0.895,Medium,42.0,Above_60,First-Time,Afternoon,22.2,40,52,Medium
Resting,0.213,Low,43.4,40_to_60,First-Time,Fajr,81.8,38,43,Low
Walking,0.607,Low,45.7,Above_60,First-Time,Fajr,25.5,30,97,Medium
Resting,0.219,Medium,49.2,40_to_60,Experienced,Morning,111.3,48,98,Low
Prayer,0.046,Low,38.1,40_to_60,First-Time,Noon,27.9,38,66,Low
Resting,0.01,High,46.7,Under_40,Experienced,Afternoon,108.4,44,29,High
Walking,0.664,High,40.5,Above_60,Experienced,Noon,26.0,19,88,Low
Sai,0.818,High,37.1,Above_60,Experienced,Night,50.4,37,66,Low
Walking,0.82,Low,47.2,Above_60,First-Time,Night,20.9,8,50,Medium
Walking,0.728,Medium,39.2,40_to_60,First-Time,Fajr,17.3,34,93,Low
Tawaf,0.794,High,46.0,40_to_60,First-Time,Night,76.8,20,13,Medium
Walking,1.108,Low,46.3,40_to_60,First-Time,Morning,28.9,10,99,Medium
Prayer,0.083,High,49.8,Above_60,Experienced,Noon,17.3,31,72,High
Tawaf,0.551,High,46.9,Above_60,First-Time,Maghrib,75.3,16,38,High
Resting,0.242,Low,47.2,40_to_60,First-Time,Afternoon,37.3,34,74,Medium
Walking,0.687,Low,46.7,40_to_60,Experienced,Fajr,15.5,36,61,Medium
Resting,0.168,High,42.9,40_to_60,First-Time,Maghrib,90.9,45,17,Medium
Walking,0.775,Medium,47.4,40_to_60,First-Time,Afternoon,7.2,28,20,Medium
Prayer,0.017,High,40.9,40_to_60,Experienced,Night,27.2,32,55,Low
Walking,0.551,High,39.5,Under_40,First-Time,Night,27.9,38,68,Low
Walking,0.891,Medium,44.4,Under_40,Experienced,Night,26.8,46,66,Low
Resting,0.029,Low,47.0,40_to_60,First-Time,Noon,15.1,46,15,Medium
Sai,1.303,High,41.3,Above_60,Experienced,Maghrib,81.2,26,17,Low
Resting,0.276,Low,40.4,40_to_60,First-Time,Night,109.2,21,74,Low
Resting,0.049,Low,36.3,40_to_60,Experienced,Fajr,118.3,18,82,Low
Walking,0.83,High,38.7,Above_60,First-Time,Maghrib,5.8,19,53,Low
Resting,0.222,Medium,39.2,40_to_60,First-Time,Fajr,74.2,19,36,Low
Prayer,0.029,High,46.9,40_to_60,First-Time,Night,27.6,12,64,High
Resting,0.276,Medium,40.4,40_to_60,First-Time,Fajr,91.8,18,24,Low
Walking,1.122,Medium,43.9,Under_40,Experienced,Afternoon,26.4,5,33,Low
Tawaf,0.352,High,36.0,Above_60,Experienced,Afternoon,71.9,5,29,Medium
Resting,0.008,Low,47.2,Above_60,First-Time,Noon,17.5,21,16,High
Walking,1.184,Low,42.9,Above_60,First-Time,Maghrib,27.0,41,32,Medium
Prayer,0.096,Medium,36.6,Under_40,Experienced,Morning,22.4,17,27,Low
Walking,0.796,High,39.9,40_to_60,Experienced,Morning,11.2,18,48,Low
Tawaf,0.325,Medium,38.9,40_to_60,First-Time,Morning,70.8,20,98,Low
Prayer,0.062,High,42.9,40_to_60,Experienced,Maghrib,20.3,45,95,Medium
Resting,0.088,Low,40.6,Under_40,Experienced,Morning,90.3,26,57,Low
Tawaf,0.768,High,40.8,40_to_60,First-Time,Night,58.4,25,92,Low
Prayer,0.079,High,38.7,40_to_60,First-Time,Morning,12.0,42,33,Medium
Tawaf,0.625,High,37.1,40_to_60,Experienced,Afternoon,84.7,39,84,Medium
Prayer,0.028,High,45.3,Above_60,First-Time,Noon,23.7,23,72,High
Walking,0.991,Medium,46.0,40_to_60,Experienced,Maghrib,22.8,18,91,Low
Walking,0.702,Low,39.3,40_to_60,First-Time,Morning,24.2,29,24,Low
Resting,0.011,High,44.0,Above_60,First-Time,Maghrib,68.8,18,69,Medium
Walking,0.856,High,38.4,40_to_60,First-Time,Maghrib,22.8,49,91,Low
Sai,1.142,Medium,45.1,40_to_60,First-Time,Noon,54.5,5,28,Medium
Resting,0.229,Low,41.5,40_to_60,Experienced,Morning,64.2,42,13,Low
Walking,1.106,High,39.0,40_to_60,Experienced,Afternoon,22.3,21,16,Low
Walking,0.748,High,37.9,40_to_60,Experienced,Night,25.1,26,37,Low
Walking,0.815,Low,46.4,Above_60,First-Time,Fajr,29.2,30,7,Medium
Resting,0.141,Medium,36.4,Above_60,First-Time,Maghrib,105.4,8,85,Low
Walking,0.727,High,41.7,Under_40,First-Time,Afternoon,6.0,44,70,Low
Prayer,0.074,High,34.3,40_to_60,Experienced,Morning,13.5,47,100,Low
Walking,0.865,Medium,38.1,Under_40,Experienced,Noon,22.0,44,51,Low
Tawaf,0.757,Medium,36.9,40_to_60,Experienced,Afternoon,34.9,13,7,Low
Prayer,0.065,Medium,32.2,40_to_60,Experienced,Afternoon,29.9,31,73,Low
Prayer,0.021,High,39.9,Under_40,First-Time,Night,19.4,29,91,Medium
Sai,0.915,High,40.7,Above_60,First-Time,Night,75.9,41,51,Medium
Tawaf,0.486,Medium,37.3,Under_40,First-Time,Noon,32.9,15,61,Low
Tawaf,0.473,High,39.6,40_to_60,First-Time,Morning,55.8,8,61,Low
Walking,0.785,Medium,41.1,Above_60,First-Time,Morning,11.0,17,13,Low
Walking,0.629,Medium,34.4,40_to_60,Experienced,Night,7.6,36,58,Low
Resting,0.293,Low,42.1,Above_60,First-Time,Night,85.6,24,89,Medium
